,Region,Municipality,Year,Total,source_x,value_x,sector,source_y,value_y
0,1003,Elkford,2006,"  2,545",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
9,1006,Sparwood,2006,"  3,736",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
18,1012,Fernie,2006,"  4,324",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
27,1022,Cranbrook,2006," 18,791",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
36,1028,Kimberley,2006,"  6,283",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
45,1039,Invermere,2006,"  3,084",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
54,1040,Radium Hot Springs,2006,    753,BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
63,1043,Canal Flats,2006,    707,BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
72,15001,"Langley, District Municipality",2006," 96,702",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
81,15002,"Langley, City of",2006," 24,335",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
90,15004,Surrey,2006,"408,991",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
99,15007,White Rock,2006," 19,171",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
108,15011,Delta,2006," 99,242",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
117,15015,Richmond,2006,"180,222",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
126,15022,Vancouver,2006,"599,884",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
135,15025,Burnaby,2006,"210,037",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
144,15029,New Westminster,2006," 60,647",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
153,15034,Coquitlam,2006,"118,615",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
162,15036,Belcarra,2006,    697,BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
171,15038,Anmore,2006,"  1,855",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
180,15039,Port Coquitlam,2006," 53,993",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
189,15043,Port Moody,2006," 28,609",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
198,15046,"North Vancouver, District Municipality",2006," 84,685",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
207,15051,"North Vancouver, City of",2006," 46,693",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
216,15055,West Vancouver,2006," 43,003",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
225,15062,Bowen Island,2006,"  3,442",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
234,15065,Lions Bay,2006,"  1,348",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
243,15070,Pitt Meadows,2006," 16,154",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
252,15075,Maple Ridge,2006," 71,046",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
261,15999,Unincorporated Areas - Greater Vancouver,2006," 19,476",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
270,17005,North Saanich,2006," 11,013",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
279,17010,Sidney,2006," 11,479",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
288,17015,Central Saanich,2006," 16,110",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
297,17021,Saanich,2006,"111,292",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
306,17030,Oak Bay,2006," 18,236",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
315,17034,Victoria,2006," 80,834",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
324,17040,Esquimalt,2006," 17,337",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
333,17041,Colwood,2006," 15,137",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
342,17042,Metchosin,2006,"  4,912",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
351,17044,Langford,2006," 23,268",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
360,17047,View Royal,2006,"  9,020",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
369,17049,Highlands,2006,"  1,956",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
378,17052,Sooke,2006,"  9,981",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
387,17999,Unincorporated Areas - Capital,2006," 24,475",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
396,19008,North Cowichan,2006," 28,229",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
405,19012,Duncan,2006,"  5,091",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
414,19016,Lake Cowichan,2006,"  3,083",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
423,19021,Ladysmith,2006,"  7,731",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
432,1999,Unincorporated Areas - East Kootenay,2006," 16,679",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
441,19999,Unincorporated Areas - Cowichan Valley,2006," 34,730",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
450,21007,Nanaimo,2006," 80,938",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
459,21008,Lantzville,2006,"  3,746",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
468,21018,Parksville,2006," 11,200",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
477,21023,Qualicum Beach,2006,"  8,586",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
486,21999,Unincorporated Areas - Nanaimo,2006," 37,639",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
495,23008,Port Alberni,2006," 17,978",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
504,23019,Ucluelet,2006,"  1,541",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
513,23025,Tofino,2006,"  1,731",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
522,23999,Unincorporated Areas - Alberni-Clayoquot,2006," 10,229",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
531,24025,Gold River,2006,"  1,389",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
540,24029,Zeballos,2006,    201,BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
549,24030,Tahsis,2006,    375,BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
558,24034,Campbell River,2006," 30,422",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
567,24039,Sayward,2006,    358,BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
576,24999,Unincorporated Areas - Strathcona,2006," 10,507",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
585,26005,Comox,2006," 12,665",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
594,26010,Courtenay,2006," 22,791",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
603,26014,Cumberland,2006,"  2,842",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
612,26999,Unincorporated Areas - Comox Valley,2006," 22,658",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
621,27008,Powell River,2006," 13,231",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
630,27806,Sechelt Ind Gov Dist (Part-Powell River),2006,     14,BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
639,27999,Unincorporated Areas - Powell River,2006,"  6,773",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
648,29005,Gibsons,2006,"  4,252",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
657,29011,Sechelt District Municipality,2006,"  8,602",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
