,sector,source,Year,value
1,TOTAL DEMAND,OIL,2006,457.0888
2,TOTAL DEMAND,NATURAL GAS,2007,321.0989
6,TOTAL DEMAND,OIL,2009,430.8465
7,TOTAL DEMAND,BIOMASS,2010,204.5951
8,TOTAL DEMAND,NATURAL GAS,2010,305.5171
12,TOTAL DEMAND,OIL,2012,410.1219
13,TOTAL DEMAND,BIOMASS,2013,207.3535
14,TOTAL DEMAND,NATURAL GAS,2013,361.7364
69,TOTAL DEMAND,BIOMASS,2006,222.7507
70,TOTAL DEMAND,NATURAL GAS,2006,310.0628
74,TOTAL DEMAND,OIL,2008,461.5127
75,TOTAL DEMAND,BIOMASS,2009,184.2673
76,TOTAL DEMAND,NATURAL GAS,2009,314.4162
79,TOTAL DEMAND,OIL,2011,416.6552
80,TOTAL DEMAND,BIOMASS,2012,212.4715
81,TOTAL DEMAND,NATURAL GAS,2012,358.8965
139,TOTAL DEMAND,OIL,2007,466.9429
140,TOTAL DEMAND,BIOMASS,2008,170.6639
141,TOTAL DEMAND,NATURAL GAS,2008,321.1971
145,TOTAL DEMAND,BIOMASS,2011,202.1806
212,TOTAL DEMAND,BIOMASS,2007,212.066
214,TOTAL DEMAND,OIL,2010,444.8529
215,TOTAL DEMAND,NATURAL GAS,2011,342.7726
219,TOTAL DEMAND,OIL,2013,422.6309
