Region,Municipality,Year,Total
1003,Elkford,2005,"  2,550"
1003,Elkford,2006,"  2,545"
1003,Elkford,2007,"  2,526"
1003,Elkford,2008,"  2,522"
1003,Elkford,2009,"  2,552"
1003,Elkford,2010,"  2,584"
1003,Elkford,2011,"  2,592"
1003,Elkford,2012,"  2,577"
1003,Elkford,2013,"  2,621"
1003,Elkford,2014,"  2,623"
1003,Elkford,2015,"  2,637"
1003,Elkford,2016,"  2,612"
1003,Elkford,2017,"  2,622"
1003,Elkford,2018,"  2,680"
1003,Elkford,2019,"  2,727"
1003,Elkford,2020,"  2,693"
1003,Elkford,2021,"  2,708"
1003,Elkford,2022,"  2,740"
1006,Sparwood,2005,"  3,734"
1006,Sparwood,2006,"  3,736"
1006,Sparwood,2007,"  3,800"
1006,Sparwood,2008,"  3,841"
1006,Sparwood,2009,"  3,829"
1006,Sparwood,2010,"  3,783"
1006,Sparwood,2011,"  3,741"
1006,Sparwood,2012,"  3,836"
1006,Sparwood,2013,"  3,858"
1006,Sparwood,2014,"  3,955"
1006,Sparwood,2015,"  3,983"
1006,Sparwood,2016,"  3,948"
1006,Sparwood,2017,"  3,967"
1006,Sparwood,2018,"  4,035"
1006,Sparwood,2019,"  4,093"
1006,Sparwood,2020,"  4,088"
1006,Sparwood,2021,"  4,161"
1006,Sparwood,2022,"  4,155"
1012,Fernie,2005,"  4,383"
1012,Fernie,2006,"  4,324"
1012,Fernie,2007,"  4,354"
1012,Fernie,2008,"  4,403"
1012,Fernie,2009,"  4,457"
1012,Fernie,2010,"  4,473"
1012,Fernie,2011,"  4,585"
1012,Fernie,2012,"  4,705"
1012,Fernie,2013,"  4,847"
1012,Fernie,2014,"  5,012"
1012,Fernie,2015,"  5,200"
1012,Fernie,2016,"  5,386"
1012,Fernie,2017,"  5,427"
1012,Fernie,2018,"  5,512"
1012,Fernie,2019,"  5,606"
1012,Fernie,2020,"  5,665"
1012,Fernie,2021,"  5,737"
1012,Fernie,2022,"  5,787"
1022,Cranbrook,2005," 18,770"
1022,Cranbrook,2006," 18,791"
1022,Cranbrook,2007," 19,136"
1022,Cranbrook,2008," 19,537"
1022,Cranbrook,2009," 19,660"
1022,Cranbrook,2010," 19,743"
1022,Cranbrook,2011," 19,664"
1022,Cranbrook,2012," 19,889"
1022,Cranbrook,2013," 20,161"
1022,Cranbrook,2014," 20,378"
1022,Cranbrook,2015," 20,668"
1022,Cranbrook,2016," 20,833"
1022,Cranbrook,2017," 20,922"
1022,Cranbrook,2018," 21,087"
1022,Cranbrook,2019," 21,430"
1022,Cranbrook,2020," 21,517"
1022,Cranbrook,2021," 21,586"
1022,Cranbrook,2022," 21,866"
1028,Kimberley,2005,"  6,315"
1028,Kimberley,2006,"  6,283"
1028,Kimberley,2007,"  6,408"
1028,Kimberley,2008,"  6,583"
1028,Kimberley,2009,"  6,808"
1028,Kimberley,2010,"  6,841"
1028,Kimberley,2011,"  6,772"
1028,Kimberley,2012,"  6,944"
1028,Kimberley,2013,"  7,122"
1028,Kimberley,2014,"  7,344"
1028,Kimberley,2015,"  7,528"
1028,Kimberley,2016,"  7,728"
1028,Kimberley,2017,"  7,801"
1028,Kimberley,2018,"  7,988"
1028,Kimberley,2019,"  8,035"
1028,Kimberley,2020,"  8,191"
1028,Kimberley,2021,"  8,325"
1028,Kimberley,2022,"  8,393"
1039,Invermere,2005,"  3,043"
1039,Invermere,2006,"  3,084"
