"Region","Municipality","Year","Gender","Total"
"1003","Elkford",2005,"T","  2,550"
"1003","Elkford",2006,"T","  2,545"
"1003","Elkford",2007,"T","  2,526"
"1003","Elkford",2008,"T","  2,522"
"1003","Elkford",2009,"T","  2,552"
"1003","Elkford",2010,"T","  2,584"
"1003","Elkford",2011,"T","  2,592"
"1003","Elkford",2012,"T","  2,577"
"1003","Elkford",2013,"T","  2,621"
"1003","Elkford",2014,"T","  2,623"
"1003","Elkford",2015,"T","  2,637"
"1003","Elkford",2016,"T","  2,612"
"1003","Elkford",2017,"T","  2,622"
"1003","Elkford",2018,"T","  2,680"
"1003","Elkford",2019,"T","  2,727"
"1003","Elkford",2020,"T","  2,693"
"1003","Elkford",2021,"T","  2,708"
"1003","Elkford",2022,"T","  2,740"
"1006","Sparwood",2005,"T","  3,734"
"1006","Sparwood",2006,"T","  3,736"
"1006","Sparwood",2007,"T","  3,800"
"1006","Sparwood",2008,"T","  3,841"
"1006","Sparwood",2009,"T","  3,829"
"1006","Sparwood",2010,"T","  3,783"
"1006","Sparwood",2011,"T","  3,741"
"1006","Sparwood",2012,"T","  3,836"
"1006","Sparwood",2013,"T","  3,858"
"1006","Sparwood",2014,"T","  3,955"
"1006","Sparwood",2015,"T","  3,983"
"1006","Sparwood",2016,"T","  3,948"
"1006","Sparwood",2017,"T","  3,967"
"1006","Sparwood",2018,"T","  4,035"
"1006","Sparwood",2019,"T","  4,093"
"1006","Sparwood",2020,"T","  4,088"
"1006","Sparwood",2021,"T","  4,161"
"1006","Sparwood",2022,"T","  4,155"
"1012","Fernie",2005,"T","  4,383"
"1012","Fernie",2006,"T","  4,324"
"1012","Fernie",2007,"T","  4,354"
"1012","Fernie",2008,"T","  4,403"
"1012","Fernie",2009,"T","  4,457"
"1012","Fernie",2010,"T","  4,473"
"1012","Fernie",2011,"T","  4,585"
"1012","Fernie",2012,"T","  4,705"
"1012","Fernie",2013,"T","  4,847"
"1012","Fernie",2014,"T","  5,012"
"1012","Fernie",2015,"T","  5,200"
"1012","Fernie",2016,"T","  5,386"
"1012","Fernie",2017,"T","  5,427"
"1012","Fernie",2018,"T","  5,512"
"1012","Fernie",2019,"T","  5,606"
"1012","Fernie",2020,"T","  5,665"
"1012","Fernie",2021,"T","  5,737"
"1012","Fernie",2022,"T","  5,787"
"1022","Cranbrook",2005,"T"," 18,770"
"1022","Cranbrook",2006,"T"," 18,791"
"1022","Cranbrook",2007,"T"," 19,136"
"1022","Cranbrook",2008,"T"," 19,537"
"1022","Cranbrook",2009,"T"," 19,660"
"1022","Cranbrook",2010,"T"," 19,743"
"1022","Cranbrook",2011,"T"," 19,664"
