region,sector,source,scenario,year,value,unit,dataset
BRITISH COLUMBIA,TOTAL DEMAND,HYDROGEN,CURRENT MEASURES,2005,0,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,OIL PRODUCTS,CURRENT MEASURES,2006,457.0888,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,NATURAL GAS,CURRENT MEASURES,2007,321.0989,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,ELECTRICITY,CURRENT MEASURES,2008,213.8629,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,HYDROGEN,CURRENT MEASURES,2008,0,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,"COAL, COKE & COKE OVEN GAS",CURRENT MEASURES,2009,11.303,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,OIL PRODUCTS,CURRENT MEASURES,2009,430.8465,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,BIOFUELS & EMERGING ENERGY,CURRENT MEASURES,2010,204.5951,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,NATURAL GAS,CURRENT MEASURES,2010,305.5171,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,ELECTRICITY,CURRENT MEASURES,2011,210.474,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,HYDROGEN,CURRENT MEASURES,2011,0,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,"COAL, COKE & COKE OVEN GAS",CURRENT MEASURES,2012,7.731,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,OIL PRODUCTS,CURRENT MEASURES,2012,410.1219,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,BIOFUELS & EMERGING ENERGY,CURRENT MEASURES,2013,207.3535,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,NATURAL GAS,CURRENT MEASURES,2013,361.7364,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,ELECTRICITY,CURRENT MEASURES,2014,204.0843,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,"COAL, COKE & COKE OVEN GAS",CURRENT MEASURES,2015,6.502,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,OIL PRODUCTS,CURRENT MEASURES,2015,419.442,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,BIOFUELS & EMERGING ENERGY,CURRENT MEASURES,2016,211.4676,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,NATURAL GAS,CURRENT MEASURES,2016,354.7296,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,ELECTRICITY,CURRENT MEASURES,2017,218.05,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,"COAL, COKE & COKE OVEN GAS",CURRENT MEASURES,2018,5.725,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,HYDROGEN,CURRENT MEASURES,2018,0,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,BIOFUELS & EMERGING ENERGY,CURRENT MEASURES,2019,226.75,PJ,2023
