sector,source,year,value
TOTAL DEMAND,HYDROGEN,2005,0.0
TOTAL DEMAND,OIL PRODUCTS,2006,457.0888
TOTAL DEMAND,NATURAL GAS,2007,321.0989
TOTAL DEMAND,ELECTRICITY,2008,213.8629
TOTAL DEMAND,HYDROGEN,2008,0.0
TOTAL DEMAND,"COAL, COKE & COKE OVEN GAS",2009,11.303
TOTAL DEMAND,OIL PRODUCTS,2009,430.8465
TOTAL DEMAND,BIOFUELS & EMERGING ENERGY,2010,204.5951
TOTAL DEMAND,NATURAL GAS,2010,305.5171
TOTAL DEMAND,ELECTRICITY,2011,210.474
TOTAL DEMAND,HYDROGEN,2011,0.0
TOTAL DEMAND,"COAL, COKE & COKE OVEN GAS",2012,7.731
TOTAL DEMAND,OIL PRODUCTS,2012,410.1219
TOTAL DEMAND,BIOFUELS & EMERGING ENERGY,2013,207.3535
TOTAL DEMAND,NATURAL GAS,2013,361.7364
TOTAL DEMAND,ELECTRICITY,2014,204.0843
TOTAL DEMAND,"COAL, COKE & COKE OVEN GAS",2015,6.502
TOTAL DEMAND,OIL PRODUCTS,2015,419.442
TOTAL DEMAND,BIOFUELS & EMERGING ENERGY,2016,211.4676
TOTAL DEMAND,NATURAL GAS,2016,354.7296
TOTAL DEMAND,ELECTRICITY,2017,218.05
TOTAL DEMAND,"COAL, COKE & COKE OVEN GAS",2018,5.725
TOTAL DEMAND,HYDROGEN,2018,0.0
TOTAL DEMAND,BIOFUELS & EMERGING ENERGY,2019,226.75
TOTAL DEMAND,HYDROGEN,2021,0.0291
TOTAL DEMAND,OIL PRODUCTS,2022,428.8511
TOTAL DEMAND,NATURAL GAS,2023,389.9317
TOTAL DEMAND,ELECTRICITY,2024,241.9779
TOTAL DEMAND,HYDROGEN,2024,0.0303
TOTAL DEMAND,"COAL, COKE & COKE OVEN GAS",2025,4.5898
TOTAL DEMAND,OIL PRODUCTS,2025,442.7207
TOTAL DEMAND,BIOFUELS & EMERGING ENERGY,2026,272.934
TOTAL DEMAND,NATURAL GAS,2026,417.2707
TOTAL DEMAND,ELECTRICITY,2027,265.5472
TOTAL DEMAND,HYDROGEN,2027,0.0311
TOTAL DEMAND,"COAL, COKE & COKE OVEN GAS",2028,4.0198
