region,source,scenario,year,value,unit,dataset
BRITISH COLUMBIA,BIOMASS / GEOTHERMAL,CURRENT MEASURES,2005,10.308265200000001,PJ,2023
BRITISH COLUMBIA,COAL & COKE,CURRENT MEASURES,2005,0,PJ,2023
BRITISH COLUMBIA,HYDRO / WAVE / TIDAL,CURRENT MEASURES,2005,217.1772,PJ,2023
BRITISH COLUMBIA,NATURAL GAS,CURRENT MEASURES,2005,8.5785012,PJ,2023
BRITISH COLUMBIA,OIL,CURRENT MEASURES,2005,0.32780159999999997,PJ,2023
BRITISH COLUMBIA,SOLAR,CURRENT MEASURES,2005,0,PJ,2023
BRITISH COLUMBIA,NUCLEAR,CURRENT MEASURES,2005,0,PJ,2023
BRITISH COLUMBIA,WIND,CURRENT MEASURES,2005,0,PJ,2023
BRITISH COLUMBIA,BIOMASS / GEOTHERMAL,CURRENT MEASURES,2006,10.6153344,PJ,2023
BRITISH COLUMBIA,COAL & COKE,CURRENT MEASURES,2006,0,PJ,2023
BRITISH COLUMBIA,HYDRO / WAVE / TIDAL,CURRENT MEASURES,2006,194.050476,PJ,2023
BRITISH COLUMBIA,NATURAL GAS,CURRENT MEASURES,2006,8.5990356,PJ,2023
BRITISH COLUMBIA,OIL,CURRENT MEASURES,2006,0.1280016,PJ,2023
BRITISH COLUMBIA,SOLAR,CURRENT MEASURES,2006,0,PJ,2023
BRITISH COLUMBIA,NUCLEAR,CURRENT MEASURES,2006,0,PJ,2023
BRITISH COLUMBIA,WIND,CURRENT MEASURES,2006,0,PJ,2023
BRITISH COLUMBIA,BIOMASS / GEOTHERMAL,CURRENT MEASURES,2007,10.6153344,PJ,2023
BRITISH COLUMBIA,COAL & COKE,CURRENT MEASURES,2007,0,PJ,2023
BRITISH COLUMBIA,HYDRO / WAVE / TIDAL,CURRENT MEASURES,2007,230.45688,PJ,2023
BRITISH COLUMBIA,NATURAL GAS,CURRENT MEASURES,2007,8.599032,PJ,2023
BRITISH COLUMBIA,OIL,CURRENT MEASURES,2007,0.3296016,PJ,2023
BRITISH COLUMBIA,SOLAR,CURRENT MEASURES,2007,0,PJ,2023
BRITISH COLUMBIA,NUCLEAR,CURRENT MEASURES,2007,0,PJ,2023
BRITISH COLUMBIA,WIND,CURRENT MEASURES,2007,0,PJ,2023
BRITISH COLUMBIA,BIOMASS / GEOTHERMAL,CURRENT MEASURES,2008,8.8825788,PJ,2023
BRITISH COLUMBIA,COAL & COKE,CURRENT MEASURES,2008,0,PJ,2023
BRITISH COLUMBIA,HYDRO / WAVE / TIDAL,CURRENT MEASURES,2008,210.69226799999998,PJ,2023
BRITISH COLUMBIA,NATURAL GAS,CURRENT MEASURES,2008,9.48645,PJ,2023
BRITISH COLUMBIA,OIL,CURRENT MEASURES,2008,0.3404448,PJ,2023
BRITISH COLUMBIA,SOLAR,CURRENT MEASURES,2008,0,PJ,2023
BRITISH COLUMBIA,NUCLEAR,CURRENT MEASURES,2008,0,PJ,2023
BRITISH COLUMBIA,WIND,CURRENT MEASURES,2008,0,PJ,2023
BRITISH COLUMBIA,BIOMASS / GEOTHERMAL,CURRENT MEASURES,2009,7.7862132,PJ,2023
BRITISH COLUMBIA,COAL & COKE,CURRENT MEASURES,2009,0,PJ,2023
BRITISH COLUMBIA,HYDRO / WAVE / TIDAL,CURRENT MEASURES,2009,202.67424,PJ,2023
BRITISH COLUMBIA,NATURAL GAS,CURRENT MEASURES,2009,5.8884984,PJ,2023
BRITISH COLUMBIA,OIL,CURRENT MEASURES,2009,0.40000319999999995,PJ,2023
BRITISH COLUMBIA,SOLAR,CURRENT MEASURES,2009,0,PJ,2023
BRITISH COLUMBIA,NUCLEAR,CURRENT MEASURES,2009,0,PJ,2023
BRITISH COLUMBIA,WIND,CURRENT MEASURES,2009,0.1224,PJ,2023
BRITISH COLUMBIA,BIOMASS / GEOTHERMAL,CURRENT MEASURES,2010,13.718646,PJ,2023
BRITISH COLUMBIA,COAL & COKE,CURRENT MEASURES,2010,0,PJ,2023
BRITISH COLUMBIA,HYDRO / WAVE / TIDAL,CURRENT MEASURES,2010,194.295168,PJ,2023
BRITISH COLUMBIA,NATURAL GAS,CURRENT MEASURES,2010,7.520407199999999,PJ,2023
BRITISH COLUMBIA,OIL,CURRENT MEASURES,2010,0.3855744,PJ,2023
BRITISH COLUMBIA,SOLAR,CURRENT MEASURES,2010,0,PJ,2023
BRITISH COLUMBIA,NUCLEAR,CURRENT MEASURES,2010,0,PJ,2023
BRITISH COLUMBIA,WIND,CURRENT MEASURES,2010,0.44279999999999997,PJ,2023
BRITISH COLUMBIA,BIOMASS / GEOTHERMAL,CURRENT MEASURES,2011,14.799596399999999,PJ,2023
BRITISH COLUMBIA,COAL & COKE,CURRENT MEASURES,2011,0,PJ,2023
BRITISH COLUMBIA,HYDRO / WAVE / TIDAL,CURRENT MEASURES,2011,218.779452,PJ,2023
BRITISH COLUMBIA,NATURAL GAS,CURRENT MEASURES,2011,11.5735032,PJ,2023
