source,year,value
BIOMASS / GEOTHERMAL,2005,10.3082652
COAL & COKE,2005,0.0
HYDRO / WAVE / TIDAL,2005,217.1772
NATURAL GAS,2005,8.5785012
OIL,2005,0.3278015999999999
SOLAR,2005,0.0
NUCLEAR,2005,0.0
WIND,2005,0.0
BIOMASS / GEOTHERMAL,2006,10.6153344
COAL & COKE,2006,0.0
HYDRO / WAVE / TIDAL,2006,194.050476
NATURAL GAS,2006,8.5990356
OIL,2006,0.1280016
SOLAR,2006,0.0
NUCLEAR,2006,0.0
WIND,2006,0.0
BIOMASS / GEOTHERMAL,2007,10.6153344
COAL & COKE,2007,0.0
HYDRO / WAVE / TIDAL,2007,230.45688
NATURAL GAS,2007,8.599032
OIL,2007,0.3296016
SOLAR,2007,0.0
NUCLEAR,2007,0.0
WIND,2007,0.0
BIOMASS / GEOTHERMAL,2008,8.8825788
COAL & COKE,2008,0.0
HYDRO / WAVE / TIDAL,2008,210.692268
NATURAL GAS,2008,9.48645
OIL,2008,0.3404448
SOLAR,2008,0.0
NUCLEAR,2008,0.0
WIND,2008,0.0
BIOMASS / GEOTHERMAL,2009,7.7862132
COAL & COKE,2009,0.0
HYDRO / WAVE / TIDAL,2009,202.67424
NATURAL GAS,2009,5.8884984
OIL,2009,0.4000031999999999
SOLAR,2009,0.0
NUCLEAR,2009,0.0
WIND,2009,0.1224
BIOMASS / GEOTHERMAL,2010,13.718646
COAL & COKE,2010,0.0
HYDRO / WAVE / TIDAL,2010,194.295168
NATURAL GAS,2010,7.520407199999999
OIL,2010,0.3855744
SOLAR,2010,0.0
NUCLEAR,2010,0.0
WIND,2010,0.4427999999999999
BIOMASS / GEOTHERMAL,2011,14.7995964
COAL & COKE,2011,0.0
HYDRO / WAVE / TIDAL,2011,218.779452
NATURAL GAS,2011,11.5735032
OIL,2011,0.3301632
SOLAR,2011,0.0
NUCLEAR,2011,0.0
WIND,2011,1.7445672
BIOMASS / GEOTHERMAL,2012,14.5227276
COAL & COKE,2012,0.0
HYDRO / WAVE / TIDAL,2012,232.117344
NATURAL GAS,2012,9.2085192
OIL,2012,0.1662623999999999
SOLAR,2012,0.0
NUCLEAR,2012,0.0
WIND,2012,1.8287316
BIOMASS / GEOTHERMAL,2013,13.7588436
COAL & COKE,2013,0.0
HYDRO / WAVE / TIDAL,2013,211.198572
NATURAL GAS,2013,5.4720936
OIL,2013,1.04151096
SOLAR,2013,0.0
NUCLEAR,2013,0.0
WIND,2013,3.096
