,ONE_DAY_PRECIPITATION,MIN_TEMP,MAX_TEMP,year_month,Station
0, 0.0,-18.0, -12.0,2005-01,MIS
1, 0.1,-4.8, -1.2,2005-02,MIS
2, 0.0,-3.4, 5.1,2005-03,MIS
3, 14.0,-8.7, -2.3,2005-04,MIS
4, 0.0,-2.5, 12.0,2005-05,MIS
5, 3.0,1.0, 7.9,2005-06,MIS
6, 0.0,2.5, 13.0,2005-07,MIS
7, 0.2,3.5, 17.4,2005-08,MIS
8, 1.0,4.6, 14.4,2005-09,MIS
9, 1.9,-2.4, 3.8,2005-10,MIS
10, 0.0,-5.6, -1.6,2005-11,MIS
11, 2.0,-18.0, -14.7,2005-12,MIS
12, 5.9,-6.7, -3.7,2006-01,MIS
13, 13.8,-7.2, -0.8,2006-02,MIS
14, 0.0,-11.4, 2.3,2006-03,MIS
15, 0.0,-5.9, 6.5,2006-04,MIS
16, 10.4,-7.1, 1.9,2006-05,MIS
17, 0.0,4.2, 14.1,2006-06,MIS
18, 0.0,7.7, 23.2,2006-07,MIS
19, 0.0,3.1, 16.0,2006-08,MIS
20, 0.0,4.0, 19.4,2006-09,MIS
21, 1.4,-1.3, 7.9,2006-10,MIS
22, 0.0,-10.8, 1.7,2006-11,MIS
23, 0.0,-11.7, -4.8,2006-12,MIS
24, 0.0,-5.7, -3.1,2007-01,MIS
25, 0.0,-8.5, 0.2,2007-02,MIS
26, 2.0,-16.7, -6.0,2007-03,MIS
27, 10.0,-13.1, -4.3,2007-04,MIS
28, 0.9,-4.0, 5.2,2007-05,MIS
29, 0.0,3.9, 20.1,2007-06,MIS
30, 0.0,0.4, 16.4,2007-07,MIS
31, 0.0,7.5, 23.1,2007-08,MIS
32, 0.0,1.6, 14.7,2007-09,MIS
33, 0.0,-1.5, 1.0,2007-10,MIS
34, 1.0,-7.8, 1.8,2007-11,MIS
35, 1.1,-23.3, -19.8,2007-12,MIS
36, 1.0,-11.6, -1.2,2008-01,MIS
37, 0.0,-11.1, -3.6,2008-02,MIS
38, 0.0,-9.2, -2.8,2008-03,MIS
39, 0.0,-15.2, -0.5,2008-04,MIS
40, 0.0,-6.8, 6.3,2008-05,MIS
41, 17.0,0.4, 5.5,2008-06,MIS
42, 0.0,5.9, 22.8,2008-07,MIS
43, 1.9,0.5, 10.7,2008-08,MIS
44, 1.0,-1.0, 10.7,2008-09,MIS
45, 0.0,9.6, 21.9,2008-10,MIS
46, 1.0,-0.6, 5.5,2008-11,MIS
47, 4.0,-6.0, 6.9,2008-12,MIS
48, 3.0,-14.6, -9.8,2009-01,MIS
49, 2.1,-11.5, -7.2,2009-02,MIS
50, 4.9,-5.9, 4.0,2009-03,MIS
51, 4.1,-10.2, -1.3,2009-04,MIS
52, 0.0,-1.3, 13.0,2009-05,MIS
53, 0.0,2.8, 17.7,2009-06,MIS
54, 0.0,1.7, 18.3,2009-07,MIS
55, 0.0,12.6, 26.1,2009-08,MIS
56, 3.0,9.8, 22.0,2009-09,MIS
57, 0.0,-3.5, 2.5,2009-10,MIS
58, 0.0,-5.5, 1.8,2009-11,MIS
59, 0.0,-13.7, -4.4,2009-12,MIS
60, 12.6,-4.7, -2.0,2010-01,MIS
61, 1.0,-5.7, -0.4,2010-02,MIS
62, 0.0,-4.9, 5.5,2010-03,MIS
63, 4.0,-8.5, -2.8,2010-04,MIS
64, 1.0,-4.7, 8.1,2010-05,MIS
65, 0.0,0.4, 11.8,2010-06,MIS
66, 7.0,-0.9, 9.4,2010-07,MIS
67, 0.0,8.4, 19.9,2010-08,MIS
68, 0.0,1.7, 12.1,2010-09,MIS
69, 0.0,4.6, 18.5,2010-10,MIS
70, 23.0,-3.9, -0.3,2010-11,MIS
71, 0.0,-8.7, -3.9,2010-12,MIS
72, 0.0,-12.3, -4.1,2011-01,MIS
73, 0.0,-11.6, 2.0,2011-02,MIS
74, 7.0,-15.5, -3.1,2011-03,MIS
75, 12.0,-6.3, 0.3,2011-04,MIS
76, 0.1,-6.4, 9.0,2011-05,MIS
77, 1.9,0.7, 8.1,2011-06,MIS
78, 0.0,0.2, 7.0,2011-07,MIS
79, 0.1,1.3, 16.6,2011-08,MIS
80, 0.0,1.7, 6.9,2011-09,MIS
81, 2.3,-2.1, 2.4,2011-10,MIS
82, 0.0,-9.3, -0.3,2011-11,MIS
83, 1.0,-7.7, -3.9,2011-12,MIS
84, 0.0,-5.2, -2.8,2012-01,MIS
85, 1.7,-8.4, -3.1,2012-02,MIS
86, 3.3,-10.5, 0.5,2012-03,MIS
87, 12.0,-8.3, -3.4,2012-04,MIS
88, 0.0,-4.7, 5.4,2012-05,MIS
89, 0.0,1.5, 11.7,2012-06,MIS
90, 1.0,3.1, 13.1,2012-07,MIS
91, 1.0,5.7, 16.3,2012-08,MIS
92, 1.0,0.2, 11.3,2012-09,MIS
93, 0.0,1.7, 8.7,2012-10,MIS
94, 0.0,-0.8, 5.1,2012-11,MIS
95, 3.0,-4.5, -2.0,2012-12,MIS
96, 0.0,-9.4, 0.5,2013-01,MIS
97, 1.1,-5.7, 2.5,2013-02,MIS
98, 12.0,-2.7, -0.7,2013-03,MIS
99, 0.0,0.2, 14.4,2013-04,MIS
100, 0.0,-8.1, 9.3,2013-05,MIS
101, 4.0,-0.5, 11.4,2013-06,MIS
102, 0.2,13.4, 28.0,2013-07,MIS
103, 0.0,8.0, 19.3,2013-08,MIS
104, 0.0,7.3, 20.4,2013-09,MIS
105, 0.3,-4.3, 1.3,2013-10,MIS
106, 14.1,-3.4, -0.2,2013-11,MIS
107, 12.0,-7.8, -2.2,2013-12,MIS
108, 0.0,-6.7, -2.8,2014-01,MIS
109, 0.0,-14.2, -5.1,2014-02,MIS
110, 0.0,-19.1, -14.1,2014-03,MIS
111, 1.0,-9.8, 6.8,2014-04,MIS
112, 0.0,5.8, 21.3,2014-05,MIS
113, 2.0,4.7, 17.7,2014-06,MIS
114, 0.0,7.6, 23.0,2014-07,MIS
115, 0.0,12.5, 26.5,2014-08,MIS
116, 0.3,2.8, 9.6,2014-09,MIS
117, 0.0,-1.3, 8.1,2014-10,MIS
118, 0.0,-5.3, 3.1,2014-11,MIS
119, 1.0,-13.3, -7.1,2014-12,MIS
120, 0.0,-1.8, 2.6,2015-01,MIS
121, 2.0,-5.5, -2.7,2015-02,MIS
122, 3.0,-7.5, 0.0,2015-03,MIS
123, 2.0,-7.2, 4.5,2015-04,MIS
124, 0.0,-2.8, 8.9,2015-05,MIS
125, 0.0,5.9, 17.8,2015-06,MIS
126, 0.0,8.7, 20.9,2015-07,MIS
127, 0.0,9.1, 25.9,2015-08,MIS
128, 2.0,0.5, 7.2,2015-09,MIS
129, 0.0,4.1, 18.7,2015-10,MIS
130, 6.0,-4.2, 0.8,2015-11,MIS
131, 1.0,-6.4, 0.5,2015-12,MIS
132, 0.0,-4.9, 5.0,2016-01,MIS
