ONE_DAY_PRECIPITATION,MIN_TEMP,MAX_TEMP,Station,Year,Month
 0.0,-18.0, -12.0,MIS,2005,01
 0.1,-4.8, -1.2,MIS,2005,02
 0.0,-3.4, 5.1,MIS,2005,03
 14.0,-8.7, -2.3,MIS,2005,04
 0.0,-2.5, 12.0,MIS,2005,05
 3.0,1.0, 7.9,MIS,2005,06
 0.0,2.5, 13.0,MIS,2005,07
 0.2,3.5, 17.4,MIS,2005,08
 1.0,4.6, 14.4,MIS,2005,09
 1.9,-2.4, 3.8,MIS,2005,10
 0.0,-5.6, -1.6,MIS,2005,11
 2.0,-18.0, -14.7,MIS,2005,12
 5.9,-6.7, -3.7,MIS,2006,01
 13.8,-7.2, -0.8,MIS,2006,02
 0.0,-11.4, 2.3,MIS,2006,03
 0.0,-5.9, 6.5,MIS,2006,04
 10.4,-7.1, 1.9,MIS,2006,05
 0.0,4.2, 14.1,MIS,2006,06
 0.0,7.7, 23.2,MIS,2006,07
 0.0,3.1, 16.0,MIS,2006,08
 0.0,4.0, 19.4,MIS,2006,09
 1.4,-1.3, 7.9,MIS,2006,10
 0.0,-10.8, 1.7,MIS,2006,11
 0.0,-11.7, -4.8,MIS,2006,12
 0.0,-5.7, -3.1,MIS,2007,01
 0.0,-8.5, 0.2,MIS,2007,02
 2.0,-16.7, -6.0,MIS,2007,03
 10.0,-13.1, -4.3,MIS,2007,04
 0.9,-4.0, 5.2,MIS,2007,05
 0.0,3.9, 20.1,MIS,2007,06
 0.0,0.4, 16.4,MIS,2007,07
 0.0,7.5, 23.1,MIS,2007,08
 0.0,1.6, 14.7,MIS,2007,09
 0.0,-1.5, 1.0,MIS,2007,10
 1.0,-7.8, 1.8,MIS,2007,11
 1.1,-23.3, -19.8,MIS,2007,12
 1.0,-11.6, -1.2,MIS,2008,01
 0.0,-11.1, -3.6,MIS,2008,02
 0.0,-9.2, -2.8,MIS,2008,03
 0.0,-15.2, -0.5,MIS,2008,04
 0.0,-6.8, 6.3,MIS,2008,05
 17.0,0.4, 5.5,MIS,2008,06
 0.0,5.9, 22.8,MIS,2008,07
 1.9,0.5, 10.7,MIS,2008,08
 1.0,-1.0, 10.7,MIS,2008,09
 0.0,9.6, 21.9,MIS,2008,10
 1.0,-0.6, 5.5,MIS,2008,11
 4.0,-6.0, 6.9,MIS,2008,12
 3.0,-14.6, -9.8,MIS,2009,01
 2.1,-11.5, -7.2,MIS,2009,02
 4.9,-5.9, 4.0,MIS,2009,03
 4.1,-10.2, -1.3,MIS,2009,04
 0.0,-1.3, 13.0,MIS,2009,05
 0.0,2.8, 17.7,MIS,2009,06
 0.0,1.7, 18.3,MIS,2009,07
 0.0,12.6, 26.1,MIS,2009,08
 3.0,9.8, 22.0,MIS,2009,09
 0.0,-3.5, 2.5,MIS,2009,10
 0.0,-5.5, 1.8,MIS,2009,11
 0.0,-13.7, -4.4,MIS,2009,12
 12.6,-4.7, -2.0,MIS,2010,01
 1.0,-5.7, -0.4,MIS,2010,02
 0.0,-4.9, 5.5,MIS,2010,03
 4.0,-8.5, -2.8,MIS,2010,04
 1.0,-4.7, 8.1,MIS,2010,05
 0.0,0.4, 11.8,MIS,2010,06
 7.0,-0.9, 9.4,MIS,2010,07
 0.0,8.4, 19.9,MIS,2010,08
 0.0,1.7, 12.1,MIS,2010,09
 0.0,4.6, 18.5,MIS,2010,10
 23.0,-3.9, -0.3,MIS,2010,11
 0.0,-8.7, -3.9,MIS,2010,12
 0.0,-12.3, -4.1,MIS,2011,01
 0.0,-11.6, 2.0,MIS,2011,02
 7.0,-15.5, -3.1,MIS,2011,03
 12.0,-6.3, 0.3,MIS,2011,04
 0.1,-6.4, 9.0,MIS,2011,05
 1.9,0.7, 8.1,MIS,2011,06
 0.0,0.2, 7.0,MIS,2011,07
 0.1,1.3, 16.6,MIS,2011,08
 0.0,1.7, 6.9,MIS,2011,09
 2.3,-2.1, 2.4,MIS,2011,10
 0.0,-9.3, -0.3,MIS,2011,11
 1.0,-7.7, -3.9,MIS,2011,12
 0.0,-5.2, -2.8,MIS,2012,01
 1.7,-8.4, -3.1,MIS,2012,02
 3.3,-10.5, 0.5,MIS,2012,03
 12.0,-8.3, -3.4,MIS,2012,04
 0.0,-4.7, 5.4,MIS,2012,05
 0.0,1.5, 11.7,MIS,2012,06
 1.0,3.1, 13.1,MIS,2012,07
 1.0,5.7, 16.3,MIS,2012,08
 1.0,0.2, 11.3,MIS,2012,09
 0.0,1.7, 8.7,MIS,2012,10
 0.0,-0.8, 5.1,MIS,2012,11
 3.0,-4.5, -2.0,MIS,2012,12
 0.0,-9.4, 0.5,MIS,2013,01
 1.1,-5.7, 2.5,MIS,2013,02
 12.0,-2.7, -0.7,MIS,2013,03
 0.0,0.2, 14.4,MIS,2013,04
 0.0,-8.1, 9.3,MIS,2013,05
 4.0,-0.5, 11.4,MIS,2013,06
 0.2,13.4, 28.0,MIS,2013,07
 0.0,8.0, 19.3,MIS,2013,08
 0.0,7.3, 20.4,MIS,2013,09
 0.3,-4.3, 1.3,MIS,2013,10
 14.1,-3.4, -0.2,MIS,2013,11
 12.0,-7.8, -2.2,MIS,2013,12
 0.0,-6.7, -2.8,MIS,2014,01
 0.0,-14.2, -5.1,MIS,2014,02
 0.0,-19.1, -14.1,MIS,2014,03
 1.0,-9.8, 6.8,MIS,2014,04
 0.0,5.8, 21.3,MIS,2014,05
 2.0,4.7, 17.7,MIS,2014,06
 0.0,7.6, 23.0,MIS,2014,07
 0.0,12.5, 26.5,MIS,2014,08
 0.3,2.8, 9.6,MIS,2014,09
 0.0,-1.3, 8.1,MIS,2014,10
 0.0,-5.3, 3.1,MIS,2014,11
 1.0,-13.3, -7.1,MIS,2014,12
 0.0,-1.8, 2.6,MIS,2015,01
 2.0,-5.5, -2.7,MIS,2015,02
 3.0,-7.5, 0.0,MIS,2015,03
 2.0,-7.2, 4.5,MIS,2015,04
 0.0,-2.8, 8.9,MIS,2015,05
 0.0,5.9, 17.8,MIS,2015,06
 0.0,8.7, 20.9,MIS,2015,07
 0.0,9.1, 25.9,MIS,2015,08
 2.0,0.5, 7.2,MIS,2015,09
 0.0,4.1, 18.7,MIS,2015,10
 6.0,-4.2, 0.8,MIS,2015,11
 1.0,-6.4, 0.5,MIS,2015,12
 0.0,-4.9, 5.0,MIS,2016,01
 0.0,-13.4, -6.2,MIS,2016,02
 7.0,-7.5, 1.4,MIS,2016,03
 0.0,1.7, 15.4,MIS,2016,04
 3.0,1.6, 19.3,MIS,2016,05
 0.0,2.8, 15.1,MIS,2016,06
 0.0,5.8, 16.9,MIS,2016,07
 2.0,5.4, 18.7,MIS,2016,08
 1.0,2.3, 13.1,MIS,2016,09
 0.0,-2.1, 5.6,MIS,2016,10
 4.0,-3.0, -0.2,MIS,2016,11
 1.0,-9.0, -4.2,MIS,2016,12
 1.0,-19.6, -11.5,MIS,2017,01
 0.0,-17.0, -9.6,MIS,2017,02
 2.0,-9.3, -4.2,MIS,2017,03
 4.0,-4.2, 1.8,MIS,2017,04
 2.0,-4.4, 4.2,MIS,2017,05
 0.0,1.8, 10.7,MIS,2017,06
 0.0,8.3, 21.6,MIS,2017,07
 0.0,10.8, 22.7,MIS,2017,08
 0.0,7.6, 21.1,MIS,2017,09
 2.0,-1.8, 2.3,MIS,2017,10
 13.0,-6.8, 1.0,MIS,2017,11
 10.0,-6.5, -4.3,MIS,2017,12
 0.0,-8.7, 4.3,MIS,2018,01
 0.0,-8.9, -5.5,MIS,2018,02
 7.0,-8.4, 0.1,MIS,2018,03
 21.0,-12.4, -3.2,MIS,2018,04
 0.0,-0.9, 11.2,MIS,2018,05
 0.0,-0.7, 9.8,MIS,2018,06
 2.0,-0.1, 12.4,MIS,2018,07
 8.0,7.0, 22.6,MIS,2018,08
 0.0,3.1, 14.2,MIS,2018,09
 13.0,-4.7, 3.9,MIS,2018,10
 10.0,-0.3, 3.9,MIS,2018,11
 0.0,-8.3, -5.0,MIS,2018,12
 1.0,-9.0, -0.9,MIS,2019,01
 12.0,-4.4, -2.8,MIS,2019,02
 0.0,-13.4, -3.8,MIS,2019,03
 1.0,-2.8, 8.3,MIS,2019,04
 0.0,-2.8, 7.4,MIS,2019,05
 0.0,5.7, 16.5,MIS,2019,07
 1.0,6.1, 13.1,MIS,2019,08
 0.0,6.0, 17.2,MIS,2019,09
 0.0,-2.7, 6.2,MIS,2019,10
 0.0,-4.4, 10.4,MIS,2019,11
 0.0,-10.0, 1.0,MIS,2019,12
 1.0,-8.3, 0.8,MIS,2020,01
 8.0,-12.3, -0.7,MIS,2020,02
