dt,AverageTemperature,AverageTemperatureUncertainty
1828-01-01,-15.524,3.058
1828-02-01,-10.472,2.647
1828-03-01,-4.559,2.433
1828-04-01,,
1828-05-01,6.847,3.095
1828-06-01,11.624,2.715
1828-07-01,13.763,3.027
1828-08-01,10.383,3.043
1828-09-01,4.402,2.576
1828-10-01,-0.25,2.643
1828-11-01,-7.223,3.326
1828-12-01,-13.852,4.974
1829-01-01,-13.683,2.953
1829-02-01,-10.057,3.708
1829-03-01,-4.129,2.857
1829-04-01,-0.148,2.562
1829-05-01,7.843,3.922
1829-06-01,11.026,3.184
1829-07-01,13.357,2.985
1829-08-01,11.817,2.84
1829-09-01,,
1829-10-01,0.651,2.528
1829-11-01,-8.814,3.474
1829-12-01,-15.647,5.152
1830-01-01,,
1830-02-01,,
1830-03-01,,
1830-04-01,,
1830-05-01,,
1830-06-01,,
1830-07-01,,
1830-08-01,,
1830-09-01,,
1830-10-01,,
1830-11-01,,
1830-12-01,,
1831-01-01,,
1831-02-01,,
1831-03-01,,
1831-04-01,,
1831-05-01,,
1831-06-01,,
1831-07-01,,
1831-08-01,,
1831-09-01,,
1831-10-01,,
1831-11-01,,
1831-12-01,,
1832-01-01,-12.587,2.307
1832-02-01,-12.805,3.403
1832-03-01,-5.841,2.179
1832-04-01,-1.125,3.517
1832-05-01,5.383,2.434
1832-06-01,,
1832-07-01,,
1832-08-01,,
1832-09-01,,
1832-10-01,-0.453,2.791
1832-11-01,-6.125,3.224
1832-12-01,-11.965,4.331
1833-01-01,-11.868,3.049
1833-02-01,-10.844,2.51
1833-03-01,-4.748,3.61
1833-04-01,0.112,2.644
1833-05-01,5.038,2.563
1833-06-01,9.996,2.661
1833-07-01,12.031,2.445
1833-08-01,11.7,2.94
1833-09-01,7.317,2.826
1833-10-01,0.299,2.946
1833-11-01,-4.699,2.403
1833-12-01,-11.888,3.059
1834-01-01,-15.454,3.137
1834-02-01,-10.691,2.788
1834-03-01,-5.161,2.851
1834-04-01,-0.152,2.532
1834-05-01,5.011,2.743
1834-06-01,9.345,3.135
1834-07-01,11.28,2.903
1834-08-01,10.013,2.974
1834-09-01,6.008,3.228
1834-10-01,0.406,2.412
1834-11-01,-4.921,2.738
1834-12-01,-10.944,2.566
1835-01-01,-11.655,2.648
1835-02-01,-10.539,2.894
1835-03-01,-5.489,2.84
1835-04-01,-0.398,2.809
1835-05-01,4.463,2.446
1835-06-01,8.659,2.714
1835-07-01,10.354,2.82
1835-08-01,,
1835-09-01,5.526,2.738
1835-10-01,-1.811,2.82
1835-11-01,-7.762,2.438
1835-12-01,-14.334,3.087
1836-01-01,-14.764,3.438
1836-02-01,-10.136,2.545
1836-03-01,-5.013,2.505
1836-04-01,-0.636,2.362
1836-05-01,5.792,2.842
1836-06-01,9.649,2.518
1836-07-01,11.281,2.604
1836-08-01,10.594,2.633
1836-09-01,5.931,2.782
1836-10-01,0.639,4.623
1836-11-01,-6.683,2.803
1836-12-01,-13.309,3.55
1837-01-01,-11.248,3.11
1837-02-01,-8.763,3.113
1837-03-01,-5.697,3.324
1837-04-01,-0.461,3.053
1837-05-01,5.403,2.995
1837-06-01,9.103,2.657
1837-07-01,11.176,2.617
1837-08-01,10.797,2.419
1837-09-01,5.762,2.586
1837-10-01,-1.06,2.912
1837-11-01,-7.747,3.035
1837-12-01,-12.206,3.766
1838-01-01,-15.407,3.107
1838-02-01,-10.813,2.216
1838-03-01,-6.453,2.396
1838-04-01,-1.572,2.38
1838-05-01,4.936,2.276
1838-06-01,9.478,2.291
1838-07-01,12.031,3.499
1838-08-01,10.887,3.09
1838-09-01,6.263,2.212
1838-10-01,0.388,3.642
1838-11-01,-6.974,3.073
1838-12-01,-11.228,3.573
1839-01-01,-14.606,3.325
1839-02-01,-7.053,3.312
1839-03-01,-7.028,2.556
1839-04-01,1.631,2.408
1839-05-01,5.093,2.236
1839-06-01,10.002,2.262
1839-07-01,12.872,3.414
1839-08-01,12.559,2.98
1839-09-01,6.448,2.656
1839-10-01,-0.778,2.478
1839-11-01,-5.751,3.924
1839-12-01,-11.397,3.915
1840-01-01,-10.013,4.307
1840-02-01,-13.231,4.391
1840-03-01,-4.692,3.869
1840-04-01,-1.263,3.076
1840-05-01,5.178,2.45
1840-06-01,9.376,2.635
1840-07-01,12.272,2.554
1840-08-01,10.562,2.57
1840-09-01,6.563,2.267
1840-10-01,-0.934,2.671
1840-11-01,-8.294,4.023
1840-12-01,-13.392,3.125
1841-01-01,-14.32,2.64
1841-02-01,-9.917,2.285
1841-03-01,-5.186,4.232
1841-04-01,-2.071,2.526
1841-05-01,4.818,2.579
1841-06-01,10.03,2.392
1841-07-01,12.599,2.33
1841-08-01,11.278,2.223
1841-09-01,5.202,2.321
1841-10-01,0.115,2.262
1841-11-01,-5.796,2.326
1841-12-01,-12.166,3.162
1842-01-01,-12.76,2.54
1842-02-01,-10.426,2.383
1842-03-01,-6.36,4.453
1842-04-01,0.593,2.9
1842-05-01,4.125,2.748
1842-06-01,8.923,2.337
1842-07-01,11.037,2.526
1842-08-01,10.688,2.57
1842-09-01,5.807,2.255
1842-10-01,-0.491,2.471
1842-11-01,-7.155,2.386
1842-12-01,-10.046,2.393
1843-01-01,-12.877,3.466
1843-02-01,-12.776,4.902
1843-03-01,-6.779,2.556
1843-04-01,-0.366,2.399
1843-05-01,3.885,2.187
1843-06-01,8.727,2.435
1843-07-01,11.145,2.593
1843-08-01,10.321,2.35
1843-09-01,5.41,2.327
1843-10-01,-0.638,2.509
1843-11-01,-7.368,2.658
1843-12-01,-10.632,2.708
1844-01-01,-15.32,3.542
